Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Winter 24/25,Mojon MPA,1.0,4,1.41,0.71,0.0,3.25,0.29,1.71,3.25,4,2.22,1.11,0.0,6.78,2.14,4.36,2.25,4,2.06,1.03,0.0,5.53,1.22,3.28,11.75,4,7.54,3.77,0.0,23.75,7.98,15.52,27.75,4,19.87,9.94,0.0,59.37,17.81,37.69,46.0,4,30.43,15.22,0.0,94.42,30.78,61.22
Spring 2025,Mojon MPA,2.25,4,1.89,0.95,0.0,5.26,1.3,3.2,1.75,4,2.22,1.11,0.0,5.28,0.64,2.86,3.25,4,2.22,1.11,0.0,6.78,2.14,4.36,11.25,4,5.12,2.56,3.1,19.4,8.69,13.81,24.75,4,8.77,4.39,10.79,38.71,20.36,29.14,43.25,4,11.15,5.57,25.51,60.99,37.68,48.82
Summer 2025,Mojon MPA,1.0,6,0.89,0.37,0.06,1.94,0.63,1.37,3.0,6,2.61,1.06,0.26,5.74,1.94,4.06,2.33,6,2.25,0.92,0.0,4.7,1.41,3.25,11.0,6,5.37,2.19,5.37,16.63,8.81,13.19,24.33,6,18.61,7.6,4.81,43.86,16.74,31.93,41.67,6,13.38,5.46,27.62,55.71,36.2,47.13
Autumn 2025,Mojon MPA,1.5,6,1.38,0.56,0.05,2.95,0.94,2.06,3.17,6,1.83,0.75,1.24,5.09,2.42,3.92,2.17,6,1.94,0.79,0.13,4.2,1.37,2.96,10.83,6,2.14,0.87,8.59,13.08,9.96,11.71,14.5,6,15.08,6.16,0.0,30.33,8.34,20.66,32.17,6,13.6,5.55,17.89,46.44,26.61,37.72
Winter 25/26,Mojon MPA,1.17,6,1.6,0.65,0.0,2.85,0.51,1.82,3.67,6,1.21,0.49,2.4,4.94,3.17,4.16,2.67,6,2.73,1.12,0.0,5.53,1.55,3.78,12.83,6,3.43,1.4,9.23,16.43,11.43,14.23,16.83,6,12.95,5.29,3.24,30.43,11.55,22.12,37.17,6,15.38,6.28,21.03,53.31,30.89,43.45
