Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Winter 24/25,Mojon MPA,8.75,2,1.77,1.25,-7.13,24.63,7.5,10.0,3.02,2,1.03,0.73,-6.24,12.29,2.29,3.75,12.71,2,1.77,1.25,-3.17,28.59,11.46,13.96,4.79,2,0.88,0.63,-3.15,12.73,4.17,5.42,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
Spring 2025,Mojon MPA,13.12,2,3.24,2.29,-15.99,42.24,10.83,15.42,0.21,2,0.29,0.21,-2.44,2.86,0.0,0.42,10.31,2,1.92,1.35,-6.89,27.52,8.96,11.67,8.54,2,1.77,1.25,-7.34,24.42,7.29,9.79,0.73,2,1.03,0.73,-8.54,9.99,0.0,1.46
Summer 2025,Mojon MPA,7.45,3,1.81,1.04,2.96,11.94,6.41,8.5,0.19,3,0.32,0.19,-0.61,0.98,0.0,0.37,9.54,3,1.05,0.61,6.92,12.15,8.93,10.14,5.6,3,2.89,1.67,-1.59,12.79,3.93,7.27,0.19,3,0.32,0.19,-0.61,0.98,0.0,0.37
Autumn 2025,Mojon MPA,10.94,2,1.92,1.35,-6.27,28.14,9.58,12.29,0.42,2,0.0,0.0,0.42,0.42,0.42,0.42,13.65,2,1.92,1.35,-3.56,30.85,12.29,15.0,6.67,2,2.06,1.46,-11.86,25.2,5.21,8.12,3.75,2,4.71,3.33,-38.6,46.1,0.42,7.08
