Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Antulang,0.05,0.1,0.09,0.42,0.01
Winter 17/18,Antulang,0.07,0.11,0.06,0.32,0.01
Spring 2018,Antulang,0.05,0.22,0.07,0.28,0.0
Summer 2018,Antulang,0.09,0.24,0.12,0.27,0.02
Autumn 2018,Antulang,0.06,0.17,0.1,0.3,0.01
Winter 18/19,Antulang,0.05,0.24,0.09,0.27,0.02
Spring 2019,Antulang,0.07,0.22,0.06,0.24,0.01
Summer 2019,Antulang,0.14,0.17,0.1,0.21,0.01
Autumn 2019,Antulang,0.1,0.2,0.07,0.23,0.01
Winter 19/20,Antulang,0.05,0.24,0.06,0.26,0.03
Summer 2022,Antulang,0.05,0.26,0.06,0.23,0.03
Autumn 2022,Antulang,0.07,0.24,0.06,0.18,0.07
Winter 22/23,Antulang,0.08,0.25,0.07,0.17,0.02
Spring 2023,Antulang,0.1,0.22,0.06,0.19,0.02
Summer 2023,Antulang,0.12,0.19,0.08,0.16,0.01
Autumn 2023,Antulang,0.13,0.25,0.06,0.22,0.0
Winter 23/24,Antulang,0.09,0.23,0.08,0.15,0.0
Spring 2024,Antulang,0.06,0.22,0.07,0.21,0.02
Summer 2024,Antulang,0.1,0.25,0.05,0.19,0.01
Autumn 2024,Antulang,0.1,0.17,0.06,0.22,0.01
Winter 24/25,Antulang,0.07,0.2,0.07,0.24,0.0
Spring 2025,Antulang,0.08,0.26,0.05,0.23,0.01
Summer 2025,Antulang,0.11,0.17,0.06,0.26,0.01
